name,iso,net_zero_target_status,entity_type,country,coordinator_name,support_type
Vimodrone,ITA,"2,4",City,Italy,Province of Milan,Coordinator
Isola di Fondra,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Isola di Fondra,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Averara,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Averara,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Kruibeke,BEL,"1,2,4",City,Belgium,Interwaas,Coordinator
Kruibeke,BEL,"1,2,4",City,Belgium,Province of East-Flanders,Coordinator
Comunità pioniera di Arborea,ITA,"2,4",City,Italy,Region of Sardinia,Coordinator
Commune de Paliseul,BEL,4,City,Belgium,Province de Luxembourg,Coordinator
Commune de Paliseul,BEL,4,City,Belgium,Région wallonne,Coordinator
Korthi (Aegean Islands),GRC,"1,2",City,Greece,"Network of Sustainable Greek Islands, GR",Supporter
Ios (Aegean Islands),GRC,"1,2",City,Greece,"Network of Sustainable Greek Islands, GR",Supporter
Budapest,HUN,"NA",City,Hungary,NA,NA
Jászberény Városi Önkormányzat,HUN,"1,4",City,Hungary,NA,NA
Turin,ITA,"NA",City,Italy,Region of Piemonte,Coordinator
Tournai,BEL,"NA",City,Belgium,IDETA - Wallonie picarde Energie Positive,Coordinator
Tournai,BEL,"NA",City,Belgium,Région wallonne,Coordinator
